emp_length,annual_income,dti,loan_amount,total_acc,is_employed,date_diff,location_Northeast,location_South,location_West,wealth_low,wealth_med,law_regulations_moderate,law_regulations_restrictive,purpose_grouped_credit card,purpose_grouped_other,verification_status_Source Verified,verification_status_Verified,loan_status_Current,loan_status_Fully Paid,home_ownership_NONE,home_ownership_OTHER,home_ownership_OWN,home_ownership_RENT,60_month_term
-1.3963307334622734,-1.227715976932576,-1.8492807771189856,-1.249636855029583,-1.6385771662377104,0.1967751205274496,1.961897923858112,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1
1.1297815873062464,-0.3752923095014675,-1.196722267753046,-1.1766500965892537,-1.6385771662377104,0.1967751205274496,2.9992449876551084,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0
-0.2736141464540423,-0.3012549037890782,1.132986617408574,0.1371115553366743,-1.0011801375801557,0.1967751205274496,2.952447375754492,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
-1.3963307334622734,-0.6174730132102558,-1.1892215952315983,-0.9576898212682656,-1.183293574339457,0.1967751205274496,2.5546676745992527,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1
1.4104607340583042,0.6179465745699521,-1.652763157057059,-1.1036633381489245,0.5467840748739061,0.1967751205274496,2.9992449876551084,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0
-0.5542932932061001,-1.3528441406948049,-0.1091247521431461,-0.4467825121859603,-1.0011801375801557,0.1967751205274496,-0.6665679445598415,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
1.4104607340583042,0.859037035601269,1.6805357114742472,-0.7387295459472777,0.7288975116332075,0.1967751205274496,-0.9395540139801036,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0
1.4104607340583042,-0.0010666338144589,-1.0017047821954086,-0.811716304387607,0.0915004829756526,0.1967751205274496,0.5501699648561844,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0
1.4104607340583042,1.2313195471277532,-1.4082412328578675,1.8887937579045784,0.8199542300128582,0.1967751205274496,-0.3233854572886547,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
1.4104607340583042,-0.8970491520306338,0.660444248557376,-1.0124298900985127,-0.0906129537836486,0.1967751205274496,0.5657691688230565,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
1.4104607340583042,0.4341257235961572,-0.6791758637731626,-0.8263136560756729,1.0020676667721595,0.1967751205274496,0.7061620045249056,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
-0.5542932932061001,0.4341257235961572,1.4330135182664772,0.0203327418321474,-0.8190667008208542,0.1967751205274496,-1.1267444615825692,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
